Player,Competetion,season,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_y,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Home
Isma Ruiz,La-Liga,2021-2022,es ESP,DM,20-231,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Mallorca
Munir El Haddadi,La-Liga,2021-2022,ma MAR,"LW,RW",26-032,45,0,0,0,0,1,1,0,0,15,0,0,0,0.2,0.2,0,0,0,7,9,77.8,1,11,0,0,0,,,,,,,,,,,,,,,,,,,,,Levante
Allan Nyom,La-Liga,2021-2022,cm CMR,LM,33-159,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,100,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Mario Hernández,La-Liga,2021-2022,es ESP,RB,22-265,73,1,0,0,0,1,1,0,0,40,0,1,0,0.2,0.2,0,0,0,23,35,65.7,5,19,0,2,1,,,,,,,,,,,,,,,,,,,,,Elche
Ludwig Augustinsson,La-Liga,2021-2022,se SWE,LB,27-179,90,0,0,0,0,0,0,0,0,57,3,1,1,0,0,0,0,0,42,47,89.4,1,25,1,0,0,,,,,,,,,,,,,,,,,,,,,Real Madrid
Óliver Torres,La-Liga,2021-2022,es ESP,LW,26-341,52,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,15,26,57.7,1,17,0,1,0,,,,,,,,,,,,,,,,,,,,,Real Madrid
Samuel Chukwueze,La-Liga,2021-2022,ng NGA,RM,22-148,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,50,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,Villarreal
Juan Cruz Armada,La-Liga,2021-2022,es ESP,CB,29-081,90,0,0,0,0,1,0,0,0,26,0,2,0,0.1,0.1,0,1,0,13,17,76.5,3,12,0,1,1,,,,,,,,,,,,,,,,,,,,,Betis
Sergio Agüero,La-Liga,2021-2022,ar ARG,FW,33-137,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,50,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,Getafe
Yangel Herrera,La-Liga,2021-2022,ve VEN,DM,23-282,24,0,0,0,0,1,0,0,0,21,0,2,1,0.1,0.1,0,0,0,13,16,81.3,2,9,0,0,0,,,,,,,,,,,,,,,,,,,,,Sevilla
Serge Aurier,La-Liga,2021-2022,ci CIV,RB,28-303,26,0,0,0,0,1,0,0,0,23,0,2,0,0,0,0,1,0,14,21,66.7,3,13,2,0,0,,,,,,,,,,,,,,,,,,,,,Osasuna
Ferland Mendy,La-Liga,2021-2022,fr FRA,LB,26-138,90,0,0,0,0,1,1,1,0,60,1,1,1,0,0,0,3,0,46,50,92,2,40,2,2,1,,,,,,,,,,,,,,,,,,,,,Betis
Toni Kroos,La-Liga,2021-2022,de GER,LM,31-293,90,0,0,0,0,1,0,0,0,64,3,0,2,0.1,0.1,0.1,3,0,52,56,92.9,4,35,1,0,0,,,,,,,,,,,,,,,,,,,,,Betis
Diego Lainez,La-Liga,2021-2022,mx MEX,RW,21-137,21,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,3,7,42.9,0,6,0,1,0,,,,,,,,,,,,,,,,,,,,,Espanyol
José Pozo,La-Liga,2021-2022,es ESP,CB,25-223,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Cádiz
Hugo Álvarez,La-Liga,2021-2022,es ESP,FW,18-115,11,0,0,0,0,1,0,0,0,8,1,0,0,0.2,0.2,0,0,0,1,3,33.3,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Granada
Yeray Álvarez,La-Liga,2021-2022,es ESP,CB,26-275,90,0,0,0,0,0,0,1,0,65,1,2,2,0,0,0,3,0,51,56,91.1,5,39,1,1,1,,,,,,,,,,,,,,,,,,,,,Alavés
Diego Rico,La-Liga,2021-2022,es ESP,WB,28-247,7,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,4,25,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Mariano,La-Liga,2021-2022,do DOM,FW,28-090,90,0,1,0,0,4,1,0,0,25,0,0,0,0.4,0.4,0.2,3,1,12,18,66.7,1,16,4,2,2,,,,,,,,,,,,,,,,,,,,,Elche
Juan Pérez,La-Liga,2021-2022,es ESP,GK,25-107,90,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,23,26.1,0,12,0,0,0,4,2,2,50,1.1,1,15,6.7,18,4,55.6,41.6,5,100,62,11,1,9.1,7,22,Athletic Club
Cristiano Piccini,La-Liga,2021-2022,it ITA,"RB,LB",29-034,9,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,3,6,50,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Abde Ezzalzouli,La-Liga,2021-2022,ma MAR,RM,19-317,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,6,66.7,0,6,0,4,2,,,,,,,,,,,,,,,,,,,,,Mallorca
Alex Petxa,La-Liga,2021-2022,es ESP,RB,24-267,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,11,90.9,0,10,0,1,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
